URL,Title,Summary,Keywords,Sentiment
https://finance.yahoo.com/news/wall-street-fears-lower-than-anticipated-iphone-demand-as-shipping-times-shrink-202345884.html,華爾街擔心，隨著運輸時間的收縮，iPhone的需求低於人們期待的iPhone需求,自Apple（AAPL）iPhone 16系列開始銷售以來已經有一個星期了，華爾街對早期結果不滿意。這是因為該公司最新智能手機的運輸時間比前幾年要短。雖然這可能對消費者有好處，但也可能表明需求,一周以來，蘋果，AAPL，iPhone，陣容，去，銷售，牆，街道,積極的
https://finance.yahoo.com/news/russias-economy-driven-war-ukraine-012303820.html,經濟學家說,一位經濟學家說，俄羅斯的經濟無法贏得或失去烏克蘭的戰爭。那是因為俄羅斯負擔不起重建和確保烏克蘭的費用。雷諾·福卡特（Renaud Foucart）說，修復自己的國家的成本已經“大規模”。俄羅斯的經濟完全由烏克蘭戰爭佔據主導地位，,俄羅斯，經濟，加利福尼亞州，負擔得起，勝利，輸，戰爭，烏克蘭，一個，經濟學家,積極的
https://finance.yahoo.com/news/goldman-sees-earnings-revisions-lifting-235510938.html,高盛（Goldman）看到收入修訂將日本股票進一步提升,（彭博社） - 據高曼·薩克斯集團（Goldman Sachs Group Inc. Amtrak火車靠近出軌後延遲,彭博社，動力，公司，收入，仍然存在，穩固，儘管收益，日元，週年,中性的
https://finance.yahoo.com/news/6-reasons-why-poor-stay-170030897.html,窮人保持貧窮和中產階級的6個原因並沒有變得富有,每當薪水進來，然後似乎立即在賬單和其他費用之間再次出去時，很容易感到沮喪。你努力工作。您嘗試保存。您有時會放棄小的樂趣，以確保銀行里有一點錢。然而，它,每次，薪水，似乎都會出現，立即去，賬單，費用，輕鬆,中性的
https://finance.yahoo.com/news/live/stock-market-today-sp-500-clinches-fresh-record-amid-gdp-data-chip-stock-gains-200242008.html,今天的股票市場：在GDP數據，芯片股票收益中，標準普爾500指數新鮮記錄,由於標準普爾500指數（^GSPC）以創紀錄的高度關閉，美國股票在周四下午躍升。投資者歡迎許多更新，包括美國的經濟數據，微米（MU）樂觀的收入以及中國對更多刺激的承諾。道瓊斯工業平均（^dji）上漲0.62％，而標準普爾500（^gspc）,美國，股票，跳躍，星期四，下午，P，GSPC，關閉，記錄，高,積極的
https://finance.yahoo.com/news/yellen-bernanke-see-the-us-economy-avoiding-a-recession-184238661.html,耶倫，伯南克看到美國經濟避免了經濟衰退,美國財政部長珍妮特·耶倫（Janet Yellen）和前美聯儲主席本·伯南克（Ben Bernanke）在周四的單獨講話中指出，他們認為美國可能會避免衰退。“很長一段時間以來，我一直相信有一條通往柔軟著陸的途徑，可以帶來,美國，財政部，秘書，珍妮特，耶倫，前，聯邦，後備，主席，本,積極的
https://finance.yahoo.com/news/super-micro-computer-stock-plunges-on-report-of-doj-probe-185516211.html,超級微型計算機庫存暴跌在DOJ探針的報告中,在《華爾街日報》報導說，美國司法部正在調查該公司後，AI服務器製造商超級計算機（SMCI）股票週四下跌了15％。該雜誌引用了未透露姓名的消息來源，他說，司法部正在調查該公司是否違反了潛在的會計行為。這個問題首先提出,週四,積極的
https://finance.yahoo.com/news/passive-income-expert-27-000-192108522.html,"被動收入專家：這是我每週賺27,000美元的方式","近年來，“被動收入”一詞已成為流行語，它實際上是指您在一邊賺錢的錢，而無需進行很多持續的工作。查看：我使用戴夫·拉姆西（Dave Ramsey）最好的被動收入創意之一賺了10,000美元",術語，被動，收入，成為，流行詞，最近，幾年，本質上是指,積極的
https://finance.yahoo.com/news/p-500-closes-record-high-205612368.html,標準普爾500標準普爾500在市場上關閉，因為市場稱重GDP，其他數據,標準普爾500年關閉，因為市場稱重GDP，其他數據登錄以訪問您的投資組合,P，關閉，記錄，高，市場，稱重，GDP，數據，標誌，訪問,中性的
https://finance.yahoo.com/news/est-e-lauder-stock-climbs-210743745.html,埃斯特勞德（EstéeLauder）股票在中國揭露經濟刺激,Budrul Chukrut / Sopa Images / Lightrocket通過Getty Images的份額，美容產品製造商EstéeLauder在周四上漲了10％，在標準普爾500指數中發布了當天的最高表現。該股的收益是在中國宣布的經濟刺激之後的收益這可以促進消費者,Budrul，Chukrut，Sopa，Images，Lightrocket，Via，Getty，Images，Shares，Beauty,積極的
https://finance.yahoo.com/news/stocks-extend-rally-chinese-stimulus-224032842.html,股票延長中國刺激促進的集會：市場包裹,（彭博社） - 亞洲的股票將延長收益，因為整個金融市場的風險胃口都從中國的最新刺激措施中得到了進一步的提高，並且隨著美國的基準測試率創下了新的記錄。彭博范德比爾特（Bloomberg Vanderbilt,彭博社，股票，亞洲，設定，擴展，增加，風險，食慾，遍布財務,積極的
https://finance.yahoo.com/news/asian-stocks-rise-dollar-strengthens-224113695.html,隨著交易者稱重催化劑：市場包裹,（彭博社） - 在短暫的技術股票較早的短暫搖擺之後，美國的股票越來越高。大多數從彭博社NJ運輸中讀書，Amtrak火車在紐約市范德比爾特（NYC Vanderbilt）附近脫軌後推遲延誤，掙扎著紐約神學院（NYC）神學院在校園擴建中,彭博社，美國，股票，推動，更高，簡短，搖擺，技術，股票，早期,積極的
https://finance.yahoo.com/news/emerging-markets-ride-risk-wave-090353222.html,新興市場在中國刺激之後騎風險浪潮，美國數據,（彭博） - 新興市場的股票和貨幣週四擴大了收益，因為中國政府承諾的美國經濟數據和新的刺激促進了風險的胃口。大多數人從彭博社NJ運輸中讀到，Amtrak火車在紐約市附近出軌後推遲了貨物自行車從污染Vans獨家Palo Alto Alto Girls釋放城市,彭博社，股票，貨幣，擴展，收益，星期四，美國，經濟，數據，新鮮,積極的
https://finance.yahoo.com/news/,找不到標題,我們正在遇到一些臨時問題。目前，此頁面上的市場數據延遲了。在我們解決此問題並恢復您的個性化列表時，請遵守我們。中國中央銀行週五表示，將削減銀行必須持有的現金數量,經歷，臨時，問題，市場，數據，頁面，目前，請延遲，請忍受,積極的
https://finance.yahoo.com/news/morning-bid-roaring-chinese-stocks-214821855.html,早上出價：十年來最佳一周的咆哮中國股票,傑米·麥吉弗（Jamie McGeever）（路透社） - 查看亞洲市場的前一天。本週將是中國總統習近平的同等學歷，相當於馬里奧·德拉吉（Mario Draghi）著名的“一切都需要”時刻？只有時間可以證明本周中國的貨幣，流動性和財政刺激射擊是否會引發可持續性,傑米（Jamie），麥吉弗（McGeever），路透社（Reuters）,中性的
